"","id","name"
"1","b2551","glyA"
"2","b0870","ltaE"
"3","b3368","cysG"
"4","b2436","hemF"
"5","b0008","talB"
"6","b3500","gor"
"7","b2465","tktB"
"8","b0945","pyrD"
"9","b4467","glcF"
"10","b3126","garL"
"11","b4468","glcE"
"12","b2979","glcD"
"13","b3916","pfkA"
"14","b1095","fabF"
"15","b1054","lpxL"
"16","b1855","lpxM"
"17","b1260","trpA"
"18","b2378","lpxP"
"19","b0109","nadC"
"20","b1094","acpP"
"21","b2836","aas"
"22","b2472","dapE"
"23","b2935","tktA"
"24","b1261","trpB"
"25","b3426","glpD"
"26","b2242","glpB"
"27","b2243","glpC"
"28","b2241","glpA"
"29","b4054","tyrB"
"30","b3770","ilvE"
"31","b3281","aroE"
"32","b1692","ydiB"
"33","b0243","proA"
"34","b1590","ynfH"
"35","b1613","manA"
"36","b0414","ribD"
"37","b0894","dmsA"
"38","b1588","ynfF"
"39","b1587","ynfE"
"40","b0896","dmsC"
"41","b1589","ynfG"
"42","b0895","dmsB"
"43","b3041","ribB"
"44","b0025","ribF"
"45","b3553","ghrB"
"46","b0678","nagB"
"47","b0844","ybjI"
"48","b0446","cof"
"49","b1478","adhP"
"50","b0638","cobC"
"51","b3812","yigB"
"52","b1662","ribC"
"53","b3399","yrfG"
"54","b0421","ispA"
"55","b3804","hemD"
"56","b0469","apt"
"57","b3997","hemE"
"58","b4382","deoA"
"59","b3187","ispB"
"60","b3222","nanK"
"61","b3225","nanA"
"62","b0126","can"
"63","b4269","ahr"
"64","b0339","cynT"
"65","b3942","katG"
"66","b4006","purH"
"67","b1732","katE"
"68","b0493","ybbO"
"69","b2508","guaB"
"70","b3846","fadB"
"71","b3588","aldB"
"72","b0586","entF"
"73","b2341","fadJ"
"74","b3794","wecG"
"75","b2400","gltX"
"76","b3003","yghA"
"77","b3993","thiE"
"78","b3011","yqhD"
"79","b3693","dgoK"
"80","b2066","udk"
"81","b2901","bglA"
"82","b0238","gpt"
"83","b2716","ascB"
"84","b3903","rhaA"
"85","b0125","hpt"
"86","b0474","adk"
"87","b2411","ligA"
"88","b3721","bglB"
"89","b2518","ndk"
"90","b1062","pyrC"
"91","b3416","malQ"
"92","b3996","nudC"
"93","b1281","pyrF"
"94","b4390","nadR"
"95","b0639","nadD"
"96","b0720","gltA"
"97","b1398","paaK"
"98","b1136","icd"
"99","b0049","apaH"
"100","b2103","thiD"
"101","b1241","adhE"
"102","b2418","pdxK"
"103","b0351","mhpF"
"104","b3831","udp"
"105","b3784","wecA"
"106","b4481","wecF"
"107","b4069","acs"
"108","b3052","hldE"
"109","b2502","ppx"
"110","b4384","deoD"
"111","b4226","ppa"
"112","b3073","patA"
"113","b1896","otsA"
"114","b2744","umpG"
"115","b0841","ybjG"
"116","b3403","pck"
"117","b1278","pgpB"
"118","b3708","tnaA"
"119","b3008","metC"
"120","b1479","maeA"
"121","b1190","dadX"
"122","b3614","yibQ"
"123","b3057","bacA"
"124","b4053","alr"
"125","b2379","alaC"
"126","b3519","treF"
"127","b2290","alaA"
"128","b0910","cmk"
"129","b1134","nudJ"
"130","b3564","xylB"
"131","b3642","pyrE"
"132","b0063","araB"
"133","b0415","ribE"
"134","b3648","gmk"
"135","b3752","rbsK"
"136","b2221","atoD"
"137","b3771","ilvD"
"138","b3926","glpK"
"139","b2293","yfbT"
"140","b2222","atoA"
"141","b4383","deoB"
"142","b0928","aspC"
"143","b1694","ydiF"
"144","b3885","yihX"
"145","b2930","yggF"
"146","b2579","grcA"
"147","b4232","fbp"
"148","b3114","tdcE"
"149","b2039","rfbA"
"150","b3697","yidA"
"151","b3789","rffH"
"152","b2041","rfbB"
"153","b3925","glpX"
"154","b3788","rffG"
"155","b3952","pflC"
"156","b3430","glgC"
"157","b2036","glf"
"158","b2038","rfbC"
"159","b1854","pykA"
"160","b2040","rfbD"
"161","b0902","pflA"
"162","b1676","pykF"
"163","b0903","pflB"
"164","b0512","allB"
"165","b2708","srlQ"
"166","b3951","pflD"
"167","b3197","kdsD"
"168","b4152","frdC"
"169","b3972","murB"
"170","b0071","leuD"
"171","b4153","frdB"
"172","b4154","frdA"
"173","b0072","leuC"
"174","b4151","frdD"
"175","b0077","ilvI"
"176","b0871","poxB"
"177","b0078","ilvH"
"178","b3671","ilvB"
"179","b2297","pta"
"180","b3670","ilvN"
"181","b0908","aroA"
"182","b1263","trpD"
"183","b2458","eutD"
"184","b3115","tdcD"
"185","b1264","trpE"
"186","b2599","pheA"
"187","b1849","purT"
"188","b2296","ackA"
"189","b2600","tyrA"
"190","b2329","aroC"
"191","b3633","waaA"
"192","b1262","trpC"
"193","b2779","eno"
"194","b0174","ispU"
"195","b2925","fbaA"
"196","b2097","fbaB"
"197","b0524","lpxH"
"198","b0963","mgsA"
"199","b0182","lpxB"
"200","b1702","ppsA"
"201","b4025","pgi"
"202","b0915","lpxK"
"203","b2926","pgk"
"204","b2781","mazG"
"205","b1850","eda"
"206","b0099","mutT"
"207","s0001",""
"208","b0767","pgl"
"209","b3386","rpe"
"210","b3617","kbl"
"211","b0160","dgt"
"212","b0073","leuB"
"213","b2464","talA"
"214","b2026","hisI"
"215","b1800","dmlA"
"216","b0523","purE"
"217","b1131","purB"
"218","b0030","rihC"
"219","b0200","gmhB"
"220","b2024","hisA"
"221","b0222","gmhA"
"222","b3607","cysE"
"223","b2407","xapA"
"224","b0038","caiB"
"225","b2421","cysM"
"226","b2235","nrdB"
"227","b2414","cysK"
"228","b4214","cysQ"
"229","b3781","trxA"
"230","b0036","caiD"
"231","b3844","fre"
"232","b2762","cysH"
"233","b2582","trxC"
"234","b2234","nrdA"
"235","b4024","lysC"
"236","b2784","relA"
"237","b0002","thrA"
"238","b2827","thyA"
"239","b3940","metL"
"240","b2431","yfeX"
"241","b3433","asd"
"242","b1019","efeB"
"243","b1238","tdk"
"244","b3639","dfp"
"245","b2838","lysA"
"246","b1232","purU"
"247","b0475","hemH"
"248","b4040","ubiA"
"249","b3974","coaA"
"250","b0103","coaE"
"251","b1851","edd"
"252","b1693","aroD"
"253","b4146","epmB"
"254","b2942","metK"
"255","b2104","thiM"
"256","b4192","ulaG"
"257","b1215","kdsA"
"258","b1004","wrbA"
"259","b3713","chrR"
"260","b1993","cobU"
"261","b1109","ndh"
"262","b3198","kdsC"
"263","b1992","cobS"
"264","b1747","astA"
"265","b0417","thiL"
"266","b1744","astE"
"267","b0046","kefF"
"268","b0348","mhpB"
"269","b0349","mhpC"
"270","b0340","cynS"
"271","b3124","garK"
"272","b3236","mdh"
"273","b0583","entD"
"274","b1612","fumA"
"275","b1611","fumC"
"276","b2988","gss"
"277","b0732","mngB"
"278","b2883","guaD"
"279","b0517","allD"
"280","b1098","tmk"
"281","b4122","fumB"
"282","b0521","ybcF"
"283","b3223","nanE"
"284","b1638","pdxH"
"285","b0888","trxB"
"286","b2428","murQ"
"287","b0907","serC"
"288","b0651","rihA"
"289","b1210","hemA"
"290","b0688","pgm"
"291","b2162","rihB"
"292","b1317","ycjU"
"293","b3429","glgA"
"294","b0522","purK"
"295","b3428","glgP"
"296","b1779","gapA"
"297","b3417","malP"
"298","b2690","yqaB"
"299","b2388","glk"
"300","b2029","gnd"
"301","b2168","fruK"
"302","b0428","cyoE"
"303","b0368","tauD"
"304","b0120","speD"
"305","b2687","luxS"
"306","b2937","speB"
"307","b2463","maeB"
"308","b3960","argH"
"309","b4117","adiA"
"310","b4196","ulaD"
"311","b0033","carB"
"312","b3581","sgbH"
"313","b0032","carA"
"314","b3172","argG"
"315","b3582","sgbU"
"316","b0242","proB"
"317","b0074","leuA"
"318","b3958","argC"
"319","b4197","ulaE"
"320","b1091","fabH"
"321","b0121","speE"
"322","b3908","sodA"
"323","b0154","hemL"
"324","b0918","kdsB"
"325","b3575","yiaK"
"326","b1656","sodB"
"327","b0312","betB"
"328","b0159","mtn"
"329","b4322","uxuA"
"330","b1106","thiK"
"331","b3091","uxaA"
"332","b0403","malZ"
"333","b0207","dkgB"
"334","b1759","nudG"
"335","b3012","dkgA"
"336","b3092","uxaC"
"337","b3176","glmM"
"338","b2251","nudI"
"339","b3730","glmU"
"340","b3189","murA"
"341","b3962","sthA"
"342","b0905","ycaO"
"343","b0937","ssuE"
"344","b3967","murI"
"345","b3248","yhdE"
"346","b3786","wecB"
"347","b2763","cysI"
"348","b0386","proC"
"349","b2764","cysJ"
"350","b2323","fabB"
"351","b2521","sseA"
"352","b2668","ygaP"
"353","b2232","ubiG"
"354","b2563","acpS"
"355","b3475","acpT"
"356","b3425","glpE"
"357","b2053","gmd"
"358","b2507","guaA"
"359","b0593","entC"
"360","b2920","scpC"
"361","b0142","folK"
"362","b3634","coaD"
"363","b1982","amn"
"364","b2143","cdd"
"365","b0394","mak"
"366","b0778","bioD"
"367","b0173","dxr"
"368","b1812","pabB"
"369","b2065","dcd"
"370","b3360","pabA"
"371","b3843","ubiD"
"372","b0477","gsk"
"373","b2478","dapA"
"374","b1096","pabC"
"375","b4039","ubiC"
"376","b0337","codA"
"377","b1302","puuE"
"378","b3729","glmS"
"379","b2662","gabT"
"380","b1200","dhaK"
"381","b2688","gshA"
"382","b2415","ptsH"
"383","b0485","glsA"
"384","b1199","dhaL"
"385","b2416","ptsI"
"386","b1525","sad"
"387","b1524","glsB"
"388","b4139","aspA"
"389","b2312","purF"
"390","b1198","dhaM"
"391","b0104","guaC"
"392","b0171","pyrH"
"393","b2797","sdaB"
"394","b1740","nadE"
"395","b4477","dgoA"
"396","b3366","nirD"
"397","b3117","tdcB"
"398","b3365","nirB"
"399","b0273","argF"
"400","b1814","sdaA"
"401","b4471","tdcG"
"402","b2498","upp"
"403","b2780","pyrG"
"404","b4254","argI"
"405","b3616","tdh"
"406","b3589","yiaY"
"407","b2500","purN"
"408","b0087","mraY"
"409","b3449","ugpQ"
"410","b0090","murG"
"411","b3774","ilvC"
"412","b2316","accD"
"413","b0331","prpB"
"414","b3255","accB"
"415","b0185","accA"
"416","b3946","fsaB"
"417","b2210","mqo"
"418","b1746","astD"
"419","b3256","accC"
"420","b0052","pdxA"
"421","b0825","fsaA"
"422","b2564","pdxJ"
"423","b3619","hldD"
"424","b2615","nadK"
"425","b0369","hemB"
"426","b4267","idnD"
"427","b4005","purD"
"428","b2265","menF"
"429","b2557","purL"
"430","b1033","ghrA"
"431","b2440","eutC"
"432","b3957","argE"
"433","b2261","menC"
"434","b2441","eutB"
"435","b0596","entA"
"436","b0595","entB"
"437","b2049","cpsB"
"438","b3583","sgbE"
"439","b1623","add"
"440","b3806","cyaA"
"441","b0061","araD"
"442","b3665","adeD"
"443","b2533","suhB"
"444","b4198","ulaF"
"445","b4177","purA"
"446","b0333","prpC"
"447","b4374","yjjG"
"448","b4161","rsgA"
"449","b0675","umpH"
"450","b0677","nagA"
"451","b3590","selB"
"452","b2361","yfdR"
"453","b2918","argK"
"454","b2291","yfbR"
"455","b1767","ansA"
"456","b2727","hypB"
"457","b0828","iaaA"
"458","b1651","gloA"
"459","b2173","yeiR"
"460","b0766","ybhA"
"461","b3744","asnA"
"462","b4352","yjiA"
"463","b0674","asnB"
"464","b3826","yigL"
"465","b4173","hflX"
"466","b4244","pyrI"
"467","b4245","pyrB"
"468","b1852","zwf"
"469","b0029","ispH"
"470","b0758","galT"
"471","b0134","panB"
"472","b0420","dxs"
"473","b1092","fabD"
"474","b3809","dapF"
"475","b2028","ugd"
"476","b0031","dapB"
"477","b2788","gudX"
"478","b0003","thrB"
"479","b1208","ispE"
"480","b2787","gudD"
"481","b1748","astC"
"482","b2746","ispF"
"483","b3791","wecE"
"484","b3787","wecC"
"485","b1415","aldA"
"486","b3526","kdgK"
"487","b3359","argD"
"488","b0004","thrC"
"489","b4013","metA"
"490","b1493","gadB"
"491","b2601","aroF"
"492","b3565","xylA"
"493","b3517","gadA"
"494","b2048","cpsG"
"495","b3551","bisC"
"496","b0754","aroG"
"497","b1704","aroH"
"498","b2700","pncC"
"499","b4015","aceA"
"500","b2750","cysC"
"501","b2904","gcvH"
"502","b0116","lpd"
"503","b2905","gcvT"
"504","b1768","pncA"
"505","b1014","putA"
"506","b1622","malY"
"507","b1584","speG"
"508","b2903","gcvP"
"509","b3939","metB"
"510","b3790","wecD"
"511","b2661","gabD"
"512","b4014","aceB"
"513","b0261","mmuM"
"514","b0759","galE"
"515","b0241","phoE"
"516","b0929","ompF"
"517","b2976","glcB"
"518","b1377","ompN"
"519","b1897","otsB"
"520","b3034","nudF"
"521","b0344","lacZ"
"522","b4239","treC"
"523","b2215","ompC"
"524","b3956","ppc"
"525","b3397","nudE"
"526","b0062","araA"
"527","b0411","tsx"
"528","b0957","ompA"
"529","b3600","mtlD"
"530","b0822","ybiV"
"531","b1319","ompG"
"532","b2540","hcaC"
"533","b3608","gpsA"
"534","b3875","ompL"
"535","b4119","melA"
"536","b2538","hcaE"
"537","b2539","hcaF"
"538","b1701","fadK"
"539","b2542","hcaD"
"540","b2802","fucI"
"541","b1805","fadD"
"542","b2803","fucK"
"543","b2800","fucA"
"544","b2541","hcaB"
"545","b1646","sodC"
"546","b0616","citE"
"547","b2738","ygbL"
"548","b2206","napA"
"549","b0617","citD"
"550","b2203","napB"
"551","b0614","citX"
"552","b0335","prpE"
"553","b2204","napH"
"554","b1236","galU"
"555","b0615","citF"
"556","b2205","napG"
"557","b2052","wcaG"
"558","b2202","napC"
"559","b1636","pdxY"
"560","b0179","lpxD"
"561","b0980","appA"
"562","b0085","murE"
"563","b0091","murC"
"564","b1277","ribA"
"565","b0383","phoA"
"566","b0088","murD"
"567","b1465","narV"
"568","b2752","cysD"
"569","b2751","cysN"
"570","b2799","fucO"
"571","b0505","allA"
"572","b1226","narJ"
"573","b1466","narW"
"574","b0350","mhpD"
"575","b0352","mhpE"
"576","b3902","rhaD"
"577","b1224","narG"
"578","b0347","mhpA"
"579","b0726","sucA"
"580","b1468","narZ"
"581","b0727","sucB"
"582","b2705","srlD"
"583","b1227","narI"
"584","b3945","gldA"
"585","b1467","narY"
"586","b0131","panD"
"587","b2091","gatD"
"588","b1225","narH"
"589","b0086","murF"
"590","b1602","pntB"
"591","b3137","kbaY"
"592","b1603","pntA"
"593","b2096","gatY"
"594","b3132","kbaZ"
"595","b0096","lpxC"
"596","b0181","lpxA"
"597","b0997","torA"
"598","b2095","gatZ"
"599","b4323","uxuB"
"600","b1873","torY"
"601","b1521","uxaB"
"602","b3385","gph"
"603","b2019","hisG"
"604","b2020","hisD"
"605","b1872","torZ"
"606","b2022","hisB"
"607","b0507","gcl"
"608","b0996","torC"
"609","b3061","ttdA"
"610","b1207","prs"
"611","b2342","fadI"
"612","b3062","ttdB"
"613","b3845","fadA"
"614","b4388","serB"
"615","b3709","tnaB"
"616","b3528","dctA"
"617","b1907","tyrP"
"618","b4111","proP"
"619","b0010","satP"
"620","b3566","xylF"
"621","b4138","dcuA"
"622","b4123","dcuB"
"623","b3567","xylG"
"624","b1386","tynA"
"625","b0621","dcuC"
"626","b4071","nrfB"
"627","b3568","xylH"
"628","b3578","yiaN"
"629","b2417","crr"
"630","b3579","yiaO"
"631","b4073","nrfD"
"632","b2429","murP"
"633","b4072","nrfC"
"634","b3577","yiaM"
"635","b2422","cysA"
"636","b3089","sstT"
"637","b4070","nrfA"
"638","b2425","cysP"
"639","b0763","modA"
"640","b3917","sbp"
"641","b3679","yidK"
"642","b2153","folE"
"643","b0764","modB"
"644","b0935","ssuD"
"645","b2423","cysW"
"646","b0153","fhuB"
"647","b0765","modC"
"648","b0152","fhuD"
"649","b2424","cysU"
"650","b0151","fhuC"
"651","b0110","ampD"
"652","b3063","ttdT"
"653","b1463","nhoA"
"654","b1711","btuC"
"655","b1709","btuD"
"656","b2913","serA"
"657","b0158","btuF"
"658","b2223","atoE"
"659","b4219","msrA"
"660","b0367","tauC"
"661","b1832","msrC"
"662","b0365","tauA"
"663","b1101","ptsG"
"664","b0366","tauB"
"665","b0679","nagE"
"666","b2393","nupC"
"667","b1818","manY"
"668","b1817","manX"
"669","b1778","msrB"
"670","b2964","nupG"
"671","b2871","ygeX"
"672","b1819","manZ"
"673","b3224","nanT"
"674","b3849","trkH"
"675","b0932","pepN"
"676","b3747","kup"
"677","b0311","betA"
"678","b3290","trkA"
"679","b4381","deoC"
"680","b2523","pepB"
"681","b1291","sapD"
"682","b0590","fepD"
"683","b0588","fepC"
"684","b4260","pepA"
"685","b1363","trkG"
"686","b0237","pepD"
"687","b0592","fepB"
"688","b0589","fepG"
"689","b1250","kch"
"690","b2841","araE"
"691","b2132","bglX"
"692","b2587","kgtP"
"693","b2239","glpQ"
"694","b4031","xylE"
"695","b4169","amiB"
"696","b2435","amiA"
"697","b2308","hisQ"
"698","b2310","argT"
"699","b0068","thiB"
"700","b0862","artQ"
"701","b0067","thiP"
"702","b0863","artI"
"703","b2817","amiC"
"704","b0066","thiQ"
"705","b0864","artP"
"706","b0867","amiD"
"707","b2406","xapB"
"708","b1654","grxD"
"709","b0860","artJ"
"710","b3460","livJ"
"711","b2306","hisP"
"712","b0861","artM"
"713","b2307","hisM"
"714","b3610","grxC"
"715","b3456","livM"
"716","b2675","nrdE"
"717","b3455","livG"
"718","b2676","nrdF"
"719","b4115","adiC"
"720","b3454","livF"
"721","b4193","ulaA"
"722","b0849","grxA"
"723","b3457","livH"
"724","b4194","ulaB"
"725","b4195","ulaC"
"726","b4240","treB"
"727","b1064","grxB"
"728","b3161","mtr"
"729","b1453","ansP"
"730","b0112","aroP"
"731","b0653","gltK"
"732","b3336","bfr"
"733","b3805","hemC"
"734","b0123","cueO"
"735","b1192","ldcA"
"736","b0655","gltI"
"737","b3904","rhaB"
"738","b0654","gltJ"
"739","b2482","hyfB"
"740","b0652","gltL"
"741","b4077","gltP"
"742","b1270","btuR"
"743","b2484","hyfD"
"744","b4055","aphA"
"745","b0480","ushA"
"746","b2180","yejF"
"747","b2179","yejE"
"748","b2488","hyfH"
"749","b1246","oppD"
"750","b1243","oppA"
"751","b2789","gudP"
"752","b3127","garP"
"753","b2723","hycC"
"754","b1244","oppB"
"755","b2485","hyfE"
"756","b1247","oppF"
"757","b2483","hyfC"
"758","b2177","yejA"
"759","b2943","galP"
"760","b2724","hycB"
"761","b2663","gabP"
"762","b2178","yejB"
"763","b2721","hycE"
"764","b2490","hyfJ"
"765","b2719","hycG"
"766","b1329","mppA"
"767","b1917","yecC"
"768","b1245","oppC"
"769","b4079","fdhF"
"770","b1920","fliY"
"771","b2481","hyfA"
"772","b1918","yecS"
